New Hampshire,737681,920610,1240385,1256685,1270962,1282146,1292566,1301050,1311184,1316496,1320981,1322181,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1366275
New Jersey,7171112,7365011,8430799,8488427,8543281,8585567,8610474,8619564,8619354,8630810,8657319,8693723,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,8882371
New Mexico,1017055,1303303,1820802,1828437,1849187,1868121,1890215,1914699,1940631,1966357,1984179,2007315,2064614,2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2106319
New York,18241391,17558165,18996959,19087486,19161568,19235015,19297907,19329398,19353588,19419540,19464482,19522612,19399956,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,19336776
North Carolina,5084411,5880096,8080253,8202468,8311105,8399815,8517909,8655414,8853849,9047856,9230086,9357107,9574586,9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10600823
North Dakota,617792,652717,641298,636225,633210,631680,635480,634528,636019,637534,640525,645903,674752,685526,702227,723149,738736,755537,756114,756755,760062,763724,765309
Ohio,10657423,10797604,11363136,11395572,11420660,11450398,11465854,11475559,11490596,11518989,11526691,11531860,11539449,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11693217
Oklahoma,2559463,3025487,3453891,3463996,3483149,3495502,3511467,3530037,3571612,3608759,3640241,3685640,3760014,3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3980783
Oregon,2091533,2633156,3430739,3469878,3516661,3551290,3573214,3617086,3675743,3730833,3780596,3823058,3837614,3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4216116,4241507
Pennsylvania,11800766,11864720,12283881,12296977,12324237,12360988,12387357,12415908,12466485,12517701,12562536,12602112,12711406,12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883,12783254
Rhode Island,949722,947154,1050607,1057707,1066919,1072453,1075835,1069226,1064193,1059706,1058368,1057451,1053994,1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1057125
South Carolina,2590713,3120737,4024082,4062301,4102227,4141080,4196549,4250989,4334146,4417059,4497746,4554258,4635846,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5218040
